MUN,ZONA,SECAO,ESTADO,MUNICIPIO,LOCAL,URNA,SERIEFC,DHCARGA,CODCARGA,DHABERTURA,DHENCERRAMENTO,ELAPTOS,ELCOMPARECIMENTO,LULA,BOLSONARO
11436,68,59,PI,PADRE MARCOS,1074,1279750,F0FF890C,20220928T150900,518681853629274621788876,20221002T080001,20221002T193047,371,312,274,24
11436,68,65,PI,PADRE MARCOS,1090,1326850,F0FF890C,20220928T152100,569186537334942094275768,20221002T080001,20221002T194931,327,279,261,10
11517,26,3,PI,PARNAGUÁ,1015,1800352,BF61D5D4,20220927T122700,093889426849478254244313,20221002T080001,20221002T175515,389,311,259,42
11550,38,100,PI,PAULISTANA,1384,1280851,F6DFD88B,20220922T091300,233332325458497128296912,20221002T080001,20221002T201139,396,303,286,11
11550,38,37,PI,PAULISTANA,1180,1279232,0CC178EC,20220922T101200,071716055391348501363614,20221002T080001,20221002T210741,411,337,299,19
11576,12,104,PI,PEDRO II,1465,2217815,AF9081F6,20220921T121900,018730541907903476970569,20221002T080001,20221002T193805,434,359,284,59
11576,12,105,PI,PEDRO II,1473,2218956,AF9081F6,20220921T122200,968225608302456996959764,20221002T080001,20221002T190627,435,327,279,27
11576,12,99,PI,PEDRO II,1430,2217847,4ED87CA1,20220921T120600,049033667319634192153659,20221002T083641,20221002T190843,426,332,274,33
11533,3,239,PI,PARNAÍBA,1384,1658553,8C8C35AD,20220921T091400,173250551290415539741928,20221002T080001,20221002T175922,398,335,269,49
11533,4,111,PI,PARNAÍBA,1066,1616001,F7EA4B0C,20220927T084400,365180636193301947672025,20221002T080001,20221002T190948,339,289,250,25
11533,4,94,PI,PARNAÍBA,1058,1605701,F7EA4B0C,20220927T083600,385382459295374215920783,20221002T080359,20221002T200509,373,322,262,25
11592,10,175,PI,PICOS,1376,1052214,445D7DF0,20220927T105700,007207134377435834824466,20221002T080001,20221002T172046,344,323,258,38
11592,10,251,PI,PICOS,1970,1180658,CF4F8046,20220927T102900,209227849350504261154697,20221002T080001,20221002T203330,428,359,254,75
11592,10,252,PI,PICOS,2003,1115414,445D7DF0,20220927T164600,360843368313290984396499,20221002T080001,20221002T210319,445,377,291,61
