MUNICIPIO,ESTADO,POPULACAOESTIMADA,TOTALCOMPARECIMENTOS,VOTOSLULA,VOTOSBOLSONARO
GOVERNADOR DIX-SEPT ROSADO,RN,12374,9873,7190,1669
GROSSOS,RN,9441,7229,4718,1853
GUAMARÉ,RN,11737,11519,7501,2930
MACAU,RN,27132,18056,13195,3311
IELMO MARINHO,RN,11649,9077,5877,2470
IPANGUAÇU,RN,13444,9759,7630,1526
IPUEIRA,RN,2035,1730,1289,304
ITAÚ,RN,5758,4060,2984,744
JAÇANÃ,RN,7788,4622,3283,909
JANDAÍRA,RN,6447,4819,3289,1151
JANDUÍS,RN,5416,3593,2802,579
JAPI,RN,5610,4436,3445,631
JARDIM DE ANGICOS,RN,2536,2461,1785,450
JARDIM DE PIRANHAS,RN,13704,8805,6929,1260
SÃO JOÃO DO SABUGI,RN,5765,4487,3208,877
JARDIM DO SERIDÓ,RN,12013,8155,5102,2164
JOÃO CÂMARA,RN,30423,21304,14498,4982
JOÃO DIAS,RN,2723,2484,1887,368
JOSÉ DA PENHA,RN,5982,4236,3446,485
JUCURUTU,RN,17501,12636,8806,2836
LAGOA D'ANTA,RN,5940,4607,3345,877
LAGOA DE PEDRAS,RN,6989,5942,4197,1129
LAGOA DE VELHOS,RN,2699,2599,1644,724
LAJES,RN,10412,6648,4697,1346
PEDRO AVELINO,RN,7405,5962,4114,1318
LUCRÉCIA,RN,3418,2890,2300,404
LUÍS GOMES,RN,9763,5802,4712,622
MACAÍBA,RN,63337,43365,25896,13369
MARCELINO VIEIRA,RN,8112,5660,4655,608
MARTINS,RN,8089,5612,4040,1077
MAXARANGUAPE,RN,8969,7714,4925,2139
OURO PRETO DO OESTE,RO,36040,20945,5740,13523
FRUTUOSO GOMES,RN,4360,3333,2653,475
MONTANHAS,RN,12393,7308,5307,1366
MONTE DAS GAMELEIRAS,RN,2394,2285,1498,578
NÍSIA FLORESTA,RN,22906,17414,9763,6200
NOVA CRUZ,RN,35280,21286,13405,5748
OLHO D'ÁGUA DO BORGES,RN,4442,3564,2712,501
OURO BRANCO,RN,4973,3645,2565,770
MOSSORÓ,RN,234390,149758,88081,46378
PARAZINHO,RN,4772,4209,2834,1040
PARELHAS,RN,19972,14079,7712,4561
SANTANA DO SERIDÓ,RN,2729,2485,1444,711
PASSA E FICA,RN,10372,7654,4645,2187
PATU,RN,11303,7917,5652,1630
PARNAMIRIM,RN,172751,113592,48084,53530
PAU DOS FERROS,RN,26728,17072,12280,3513
PEDRA GRANDE,RN,3918,3343,2405,695
PEDRA PRETA,RN,2659,2201,1465,548
PEDRO VELHO,RN,13673,9174,6350,2015
PENDÊNCIAS,RN,12505,8821,6626,1551
NATAL,RN,774230,465181,225529,188942
PILÕES,RN,3381,2799,2345,294
POÇO BRANCO,RN,12288,9157,6922,1506
PORTALEGRE,RN,6855,5412,3495,1233
SERRA CAIADA,RN,8283,6810,4522,1761
PUREZA,RN,8030,6397,4479,1311
