MUNICIPIO,ESTADO,POPULACAOESTIMADA,TOTALCOMPARECIMENTOS,VOTOSLULA,VOTOSBOLSONARO
CURRAIS NOVOS,RN,45022,24259,14181,7523
DOUTOR SEVERIANO,RN,7068,4656,3764,544
SÃO MIGUEL,RN,23789,14163,10587,2076
ENCANTO,RN,5697,3973,3231,472
EQUADOR,RN,6064,3851,2459,999
ESPÍRITO SANTO,RN,10463,5538,3077,2052
GOIANINHA,RN,27004,17193,10335,5199
TIBAU DO SUL,RN,14694,10834,6634,3302
FELIPE GUERRA,RN,6009,5833,4594,845
EXTREMOZ,RN,29282,23245,12415,8732
FLORÂNIA,RN,9772,6746,4771,1428
FRANCISCO DANTAS,RN,2801,2302,1778,350
GALINHOS,RN,2903,1884,1016,709
GOVERNADOR DIX-SEPT ROSADO,RN,13115,9873,7190,1669
GROSSOS,RN,10541,7229,4718,1853
GUAMARÉ,RN,16261,11519,7501,2930
MACAU,RN,32260,18056,13195,3311
IELMO MARINHO,RN,14033,9077,5877,2470
IPANGUAÇU,RN,15759,9759,7630,1526
IPUEIRA,RN,2264,1730,1289,304
ITAÚ,RN,5916,4060,2984,744
JAÇANÃ,RN,9341,4622,3283,909
JANDAÍRA,RN,6907,4819,3289,1151
JANDUÍS,RN,5228,3593,2802,579
JAPI,RN,4935,4436,3445,631
JARDIM DE ANGICOS,RN,2600,2461,1785,450
JARDIM DE PIRANHAS,RN,15044,8805,6929,1260
SÃO JOÃO DO SABUGI,RN,6221,4487,3208,877
JARDIM DO SERIDÓ,RN,12397,8155,5102,2164
JOÃO CÂMARA,RN,35360,21304,14498,4982
JOÃO DIAS,RN,2653,2484,1887,368
JOSÉ DA PENHA,RN,5941,4236,3446,485
JUCURUTU,RN,18335,12636,8806,2836
MESSIAS TARGINO,RN,4665,3828,2687,884
LAGOA D'ANTA,RN,6851,4607,3345,877
LAGOA DE PEDRAS,RN,7624,5942,4197,1129
LAGOA DE VELHOS,RN,2732,2599,1644,724
LAGOA SALGADA,RN,8348,7517,5063,1662
LAJES,RN,11410,6648,4697,1346
PEDRO AVELINO,RN,6591,5962,4114,1318
LAJES PINTADAS,RN,4768,4272,2826,1055
LUCRÉCIA,RN,4053,2890,2300,404
LUÍS GOMES,RN,10175,5802,4712,622
MACAÍBA,RN,82828,43365,25896,13369
MARCELINO VIEIRA,RN,8325,5660,4655,608
MARTINS,RN,8790,5612,4040,1077
MAXARANGUAPE,RN,12714,7714,4925,2139
OURO PRETO DO OESTE,RO,35445,20945,5740,13523
FRUTUOSO GOMES,RN,4015,3333,2653,475
MONTANHAS,RN,11166,7308,5307,1366
NÍSIA FLORESTA,RN,28266,17414,9763,6200
NOVA CRUZ,RN,37554,21286,13405,5748
OLHO D'ÁGUA DO BORGES,RN,4231,3564,2712,501
OURO BRANCO,RN,4813,3645,2565,770
MOSSORÓ,RN,303792,149758,88081,46378
PARAZINHO,RN,5307,4209,2834,1040
PARELHAS,RN,21611,14079,7712,4561
SANTANA DO SERIDÓ,RN,2699,2485,1444,711
PASSA E FICA,RN,13667,7654,4645,2187
